Nom;C010;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;650;180;95
B02;780;320;220
B03;1200;240;245
B04;820;360;255
B05;1450;260;340
B06;1180;240;250
B07;970;420;375
B08;1350;320;420
B09;1720;480;925
B10;650;170;105
;;;
Id produit;Longueur;Hauteur;Quantite
P000;295;10;1
P001;45;110;2
P002;325;20;1
P003;30;130;2
P004;300;25;2
P005;45;30;1
P006;20;135;1
P007;280;155;1
P008;35;25;2
P009;45;125;1
P010;35;160;1
P011;315;140;1
P012;295;20;2
P013;35;160;1
P014;300;135;1
P015;35;175;2
P016;35;15;1
P017;20;135;1
P018;320;25;1
P019;20;30;2
P020;290;155;2
P021;20;135;1
P022;335;15;1
P023;50;15;1
P024;305;115;2
P025;345;170;2
P026;20;130;1
P027;280;25;1
P028;310;30;2
P029;30;160;2
P030;40;125;2
P031;45;165;2
P032;340;155;2
P033;50;25;2
P034;45;150;2
P035;45;20;2
P036;320;120;1
P037;45;180;1
P038;270;10;1
P039;285;20;2
P040;50;150;1
P041;25;155;1
P042;320;15;1
P043;300;140;2
P044;20;10;1
P045;320;140;1
P046;45;140;2
P047;35;30;1
P048;50;160;2
P049;40;20;2
P050;20;10;2
P051;305;140;2
P052;30;150;2
P053;35;15;2
P054;300;135;1
P055;325;180;1
P056;50;25;2
P057;300;25;1
P058;320;155;2
P059;320;165;2
P060;45;145;2
P061;40;25;1
P062;25;15;1
P063;325;25;1
P064;30;170;1
P065;25;140;2
P066;290;165;2
P067;340;150;1
P068;25;20;1
P069;30;10;1
P070;295;30;1
P071;40;25;1
P072;30;165;2
P073;40;170;1
P074;310;120;2
P075;50;30;2
P076;285;25;2
P077;300;160;2
P078;315;25;2
P079;20;30;1
P080;25;160;2
P081;340;145;1
P082;280;135;1
P083;310;125;2
P084;330;160;1
P085;345;10;2
P086;45;130;2
P087;50;30;2
P088;20;20;1
P089;35;10;2
P090;35;10;2
P091;305;115;1
P092;300;15;2
P093;305;130;1
P094;50;25;2
P095;20;130;1
P096;50;180;2
P097;50;25;1
P098;330;30;2
P099;50;15;2
P100;45;160;2
P101;300;15;1
P102;310;160;1
P103;30;145;2
P104;50;155;2
P105;35;120;2
P106;325;140;1
P107;330;145;2
P108;320;30;2
P109;35;25;1
P110;295;20;1
P111;295;15;1
P112;25;145;2
P113;20;130;1
P114;330;15;1
P115;295;10;1
P116;325;165;2
P117;325;10;1
P118;330;20;2
P119;290;135;1
P120;40;115;1
