Nom;C001;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;780;240;175
;;;
Id produit;Longueur;Hauteur;Quantite
P000;105;165;3
P001;90;155;2
P002;260;55;5
P003;205;155;4
P004;160;140;2
P005;150;60;1
P006;345;65;3
P007;375;65;3
P008;150;110;1
P009;260;135;1
P010;170;140;5
P011;120;155;1
P012;265;140;5
P013;85;35;2
P014;360;65;1
P015;180;90;1
P016;205;65;5
P017;220;40;1
P018;100;150;1
P019;100;115;1
P020;220;105;3
P021;135;170;1
P022;340;75;3
P023;230;155;1
P024;275;165;3
P025;325;40;5
P026;240;75;5
P027;360;45;1
P028;185;170;2
P029;290;100;1
P030;145;45;3
P031;240;60;5
P032;280;155;3
P033;305;175;1
P034;275;110;4
P035;210;95;4
P036;380;80;2
P037;150;65;3
P038;240;135;5
P039;255;65;3
P040;135;85;3
P041;90;145;4
P042;135;115;5
P043;350;95;2
P044;205;35;5
P045;135;45;3
P046;160;140;5
P047;100;40;5
P048;320;165;5
P049;180;115;1
P050;195;115;3
