Nom;C007;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;650;180;95
B02;780;320;220
B03;1200;240;245
B04;820;360;255
B05;750;320;225
B06;1450;260;340
B07;970;420;375
B08;1350;320;420
B09;1700;450;930
B10;1720;480;925
;;;
Id produit;Longueur;Hauteur;Quantite
P000;120;175;4
P001;330;170;5
P002;360;155;1
P003;165;170;3
P004;370;135;5
P005;250;145;2
P006;90;160;4
P007;280;90;4
P008;305;60;2
P009;305;165;4
P010;165;165;4
P011;200;155;1
P012;200;65;5
P013;85;65;3
P014;265;40;4
P015;320;35;5
P016;300;60;2
P017;370;90;1
P018;350;125;2
P019;115;70;3
P020;325;165;3
P021;245;115;2
P022;110;160;2
P023;295;155;5
P024;100;45;4
P025;270;40;5
P026;225;175;4
P027;145;100;3
P028;130;125;1
P029;380;165;4
P030;120;45;5
P031;340;35;5
P032;115;90;4
P033;365;75;1
P034;160;120;4
P035;90;150;1
P036;190;140;3
P037;165;170;4
P038;130;140;1
P039;160;45;3
P040;190;45;3
P041;305;140;3
P042;350;65;3
P043;170;150;2
P044;115;140;3
P045;250;90;4
P046;230;165;1
P047;365;155;1
P048;235;120;4
P049;285;175;5
P050;175;140;5
P051;90;50;2
P052;300;50;2
P053;375;75;1
P054;135;115;2
P055;200;50;1
P056;240;70;4
P057;310;40;5
P058;170;90;2
P059;280;90;5
P060;280;45;3
P061;270;165;2
P062;265;175;2
P063;365;140;4
P064;250;75;3
P065;170;165;1
P066;305;95;1
P067;340;95;3
P068;230;175;3
P069;380;140;2
P070;170;120;3
P071;315;175;2
P072;355;120;2
P073;170;180;3
P074;150;35;2
P075;285;65;2
P076;240;95;2
P077;150;180;5
P078;230;70;3
P079;200;170;1
P080;240;135;4
