Nom;C005;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;780;320;220
B02;1090;240;235
B03;1200;240;245
B04;580;200;255
B05;820;360;255
;;;
Id produit;Longueur;Hauteur;Quantite
P000;205;95;3
P001;195;30;2
P002;190;90;3
P003;105;60;3
P004;110;15;2
P005;125;55;1
P006;195;85;3
P007;190;20;3
P008;125;60;3
P009;200;55;1
P010;115;55;3
P011;190;25;1
P012;205;25;2
P013;195;15;3
P014;110;95;3
P015;195;50;1
P016;190;20;3
P017;115;15;2
P018;120;55;2
P019;105;25;2
P020;200;15;3
P021;115;50;2
P022;210;100;1
P023;190;15;1
P024;200;95;3
P025;120;95;1
P026;110;55;3
P027;115;30;3
P028;130;55;2
P029;110;30;1
P030;190;85;3
P031;195;20;3
P032;200;90;1
P033;105;30;2
P034;210;85;1
P035;125;15;3
P036;110;90;3
P037;115;20;1
P038;210;15;1
P039;115;20;3
P040;190;55;2
P041;130;55;2
P042;200;85;1
P043;125;90;3
P044;185;100;1
P045;210;50;1
P046;205;65;1
P047;105;60;3
P048;130;90;3
P049;125;65;1
P050;205;15;3
