Nom;C003;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;780;240;175
B02;1090;240;235
;;;
Id produit;Longueur;Hauteur;Quantite
P000;100;140;5
P001;95;50;8
P002;200;80;7
P003;230;95;5
P004;190;50;8
P005;230;95;7
P006;105;95;8
P007;140;125;6
P008;95;125;3
P009;100;50;4
P010;155;95;5
P011;95;80;5
P012;155;80;6
P013;190;125;4
P014;135;80;5
P015;145;140;5
P016;235;50;5
P017;230;65;3
P018;230;65;7
P019;145;35;6
P020;215;35;7
P021;155;65;5
P022;140;80;5
P023;145;35;4
P024;140;95;6
P025;190;140;7
P026;225;50;3
P027;215;50;6
P028;240;80;4
P029;215;125;4
P030;190;50;4
P031;155;110;5
P032;110;65;4
P033;140;140;5
P034;95;35;8
P035;110;65;3
P036;155;65;7
P037;150;140;3
P038;195;110;6
P039;140;110;3
P040;145;80;4
P041;155;125;4
P042;180;65;3
P043;120;125;5
P044;185;65;5
P045;110;65;3
P046;220;65;6
P047;175;110;5
P048;200;50;5
P049;185;95;6
P050;100;35;5
