Nom;C002;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;780;240;175
B02;1090;240;235
;;;
Id produit;Longueur;Hauteur;Quantite
P000;315;50;9
P001;280;55;3
P002;155;90;4
P003;240;90;1
P004;255;60;2
P005;305;55;2
P006;300;80;8
P007;290;75;6
P008;230;90;8
P009;205;80;6
P010;200;80;7
P011;315;60;8
P012;245;75;8
P013;255;75;3
P014;140;55;10
P015;320;70;7
P016;245;55;2
P017;200;45;7
P018;150;80;8
P019;250;60;3
P020;265;55;4
P021;170;50;5
P022;320;85;6
P023;240;70;10
P024;250;85;10
P025;130;75;1
P026;170;50;4
P027;220;70;6
P028;285;45;3
P029;145;85;5
P030;260;75;3
P031;135;75;5
P032;215;90;10
P033;220;85;1
P034;295;90;6
P035;130;50;6
P036;255;75;3
P037;150;50;8
P038;230;90;6
P039;230;45;3
P040;130;55;4
P041;300;75;5
P042;250;45;5
P043;165;60;2
P044;180;50;10
P045;270;70;10
P046;165;55;2
P047;125;70;8
P048;265;50;2
P049;155;90;2
P050;170;65;6
