Nom;C006;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;780;320;220
B02;750;300;230
B03;1090;240;235
B04;1200;240;245
B05;820;360;255
;;;
Id produit;Longueur;Hauteur;Quantite
P000;250;105;3
P001;150;165;5
P002;225;50;4
P003;325;170;4
P004;265;110;5
P005;355;105;2
P006;255;150;4
P007;360;170;1
P008;155;115;5
P009;225;150;2
P010;270;50;1
P011;150;140;4
P012;195;115;5
P013;350;70;5
P014;305;105;2
P015;155;95;3
P016;145;140;4
P017;320;145;1
P018;280;130;4
P019;300;155;3
P020;290;155;4
P021;310;100;4
P022;125;160;3
P023;185;160;3
P024;300;85;5
P025;195;35;5
P026;165;175;1
P027;230;50;4
P028;210;70;2
P029;205;50;3
P030;280;170;1
P031;170;175;5
P032;355;165;5
P033;130;160;1
P034;335;160;2
P035;350;55;3
P036;370;50;2
P037;170;95;1
P038;325;45;3
P039;140;170;1
P040;135;80;5
P041;220;155;3
P042;90;180;5
P043;165;135;3
P044;285;180;3
P045;255;125;1
P046;185;60;4
P047;110;120;1
P048;105;105;4
P049;100;125;1
P050;355;165;2
