Nom;C008;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;650;180;95
B02;780;320;220
B03;1200;240;245
B04;820;360;255
B05;1450;260;340
B06;970;420;375
B07;1350;320;420
B08;1720;480;925
B09;1400;240;340
B10;640;180;90
;;;
Id produit;Longueur;Hauteur;Quantite
P000;320;30;2
P001;55;40;3
P002;45;25;3
P003;110;90;3
P004;120;155;3
P005;80;135;3
P006;195;105;3
P007;170;130;3
P008;30;65;2
P009;100;100;2
P010;420;155;3
P011;65;30;3
P012;220;70;3
P013;220;125;3
P014;520;30;2
P015;335;75;3
P016;220;140;1
P017;270;40;3
P018;35;70;2
P019;470;20;2
P020;230;75;1
P021;220;100;2
P022;70;160;2
P023;70;50;1
P024;65;75;2
P025;290;85;2
P026;425;15;1
P027;125;120;3
P028;340;40;1
P029;110;60;1
P030;470;105;1
P031;70;70;2
P032;40;130;1
P033;60;80;3
P034;65;75;2
P035;45;65;1
P036;55;50;2
P037;170;120;1
P038;50;60;1
P039;60;155;3
P040;290;50;2
P041;155;115;1
P042;170;95;1
P043;30;150;3
P044;195;75;3
P045;140;40;3
P046;40;100;1
P047;30;40;2
P048;80;105;3
P049;50;50;3
P050;320;35;2
